event_date,fighter_a,fighter_b,fighter_a_matched,fighter_b_matched,both_matched,fighter_a_last_source_date,fighter_b_last_source_date
2023-09-27,alexander soldatkin,mario piazzon,1,1,1,2022-01-29,2023-03-25
2023-09-27,carli judice,ernesta kareckaite,0,0,0,,
2023-10-04,victor hugo,eduardo torres caut,1,0,0,2023-10-03,
2023-10-04,raimond magomedaliev,mauricio ruffy,1,1,1,2022-03-11,2023-05-26
2023-10-04,murtaza talha,rodolfo bellato,0,1,0,,2023-03-10
2023-10-04,magomed gadzhiyasulov,jose daniel medina,1,0,0,2023-10-03,
2023-10-11,yuri panferov,torrez finney,1,0,0,2022-11-17,
2023-10-11,marquel mederos,issa isakov,1,1,1,2022-05-15,2020-08-08
2023-10-11,ramon taveras,cortavious romious,1,1,1,2023-10-10,2023-10-10
2023-10-11,connor matthews,jair farias,1,1,1,2023-10-10,2023-10-10
2023-10-11,lucas rocha,davi bittencourt,1,1,1,2023-10-10,2023-10-10
2023-10-11,andre lima,rickson zenidim,1,0,0,2023-10-10,
2024-08-13,rami hamed,ding meng,1,0,0,2020-05-29,
2024-08-13,mikheil sazhiniani,bruno lopes,1,1,1,2024-03-02,2024-01-27
2024-08-13,wes schultz,mansur abdul-malik,0,1,0,,2024-02-09
2024-08-13,an tuan ho,lone'er kavanagh,1,1,1,2023-09-22,2024-03-30
2024-08-13,jose miguel delgado,ernie juarez,0,1,0,,2024-03-29
2024-08-20,rizvan kuniev,hugo cunha,1,1,1,2020-12-19,2023-11-03
2024-08-20,torrez finney,cam rowston,1,0,0,2024-05-04,
2024-08-20,michael imperato,cortavious romious,1,1,1,2024-01-19,2024-04-20
2024-08-20,andreas gustafsson,pat pytlik,1,1,1,2023-11-25,2019-03-01
2024-08-20,cody haddon,billy brand,1,1,1,2021-06-05,2023-07-22
2024-08-28,malcolm wellmaker,adam bramhald,1,1,1,2024-08-27,2024-08-27
2024-08-28,andrey pulyaev,liam anderson,1,1,1,2024-08-27,2024-08-27
2024-08-28,matthieu duclos,marco tulio,0,1,0,,2024-01-27
2024-08-28,michael aswell jr.,bogdan grad,0,1,0,,2024-08-27
